User ID;textIndex;emotionIndex;delFreq;leftFreq;TotTime
142;FI;C;8;0;33772
104;FI;N;9;0;668979
104;FR;N;15;0;
104;FR;S;14;0;
104;FI;S;7;0;192280
56;FI;N;0;0;104536
104;FR;C;17;0;
104;FI;C;7;1;82813
56;FR;N;2;0;
104;FR;A;18;0;
104;FI;A;8;0;80107
56;FR;S;1;0;
56;FI;S;0;0;76885
56;FI;C;0;0;84762
56;FR;C;0;0;
104;FI;N;17;0;147081
61;FI;N;23;1;97017
61;FR;N;13;4;
61;FR;A;4;1;
61;FI;A;17;2;57230
87;FI;N;9;0;61559
87;FR;N;9;0;
87;FR;S;0;0;
87;FI;S;3;0;52942
87;FR;C;8;0;
87;FI;C;8;0;53227
87;FR;A;2;0;
87;FI;A;6;0;46153
87;FR;H;13;0;
87;FI;H;4;0;31031
52;FI;N;2;0;82421
52;FR;N;9;0;
52;FR;C;15;0;
52;FI;C;6;0;54219
138;FI;N;4;0;102935
138;FR;N;5;1;
138;FR;S;9;0;
138;FI;S;3;0;72796
138;FR;A;2;0;
138;FI;A;9;4;89192
138;FR;H;0;0;
138;FI;H;0;0;51046
100;FI;N;3;0;59950
100;FR;N;14;0;
100;FR;H;1;0;
100;FI;H;2;0;23626
73;FI;N;4;0;108733
73;FR;N;5;0;
131;FI;N;7;5;177527
131;FR;N;3;20;
19;FI;N;42;0;119528
19;FR;N;9;0;
19;FR;H;0;0;
19;FI;H;5;0;59665
53;FI;N;6;0;90853
53;FR;N;9;0;
53;FR;C;12;0;
53;FI;C;8;0;75360
49;FI;N;12;9;71064
49;FR;N;115;27;
49;FR;C;53;0;
49;FI;C;3;0;46181
174;FI;N;12;0;75813
174;FI;N;1;0;127228
148;FI;N;13;0;47900
148;FR;N;20;0;
148;FI;H;10;0;35239
148;FR;H;40;0;
148;FR;C;2;0;
148;FI;C;24;0;48098
147;FI;N;15;0;53778
147;FR;N;9;0;
147;FR;H;2;0;
147;FI;H;1;0;26444
97;FI;N;16;0;122743
97;FR;N;10;0;
97;FR;S;13;0;
97;FI;S;9;0;72687
89;FI;N;18;0;57374
89;FR;N;24;0;
89;FR;C;1;0;
89;FI;C;18;12;90612
89;FR;S;4;0;
89;FI;S;13;0;65496
76;FI;N;0;0;63011
76;FR;N;7;0;
76;FR;S;6;0;
76;FI;S;6;0;53020
144;FI;N;14;0;73020
109;FI;N;8;0;80065
109;FR;N;4;0;
144;FR;N;18;0;
109;FR;A;2;0;
109;FI;A;11;0;68558
144;FI;A;9;0;70844
144;FR;A;7;0;
73;FI;N;7;0;178454
73;FR;N;0;0;
73;FR;H;12;0;
73;FI;H;3;0;140379
115;FI;N;1;0;85154
115;FR;N;18;0;
115;FR;C;0;0;
115;FI;C;1;0;86712
193;FI;N;7;0;50261
193;FR;N;141;0;
114;FI;N;6;0;74074
114;FR;N;22;0;
114;FI;S;1;0;46453
114;FR;S;17;0;
118;FI;N;12;0;58863
118;FR;N;23;0;
118;FR;H;34;0;
118;FI;H;20;0;81551
128;FI;N;8;0;74653
128;FR;N;8;0;
128;FR;S;12;0;
128;FI;S;3;5;58424
181;FI;N;7;0;81089
181;FR;N;5;3;
112;FI;N;5;0;72145
112;FR;N;1;0;
168;FI;N;0;0;54371
168;FR;N;3;0;
108;FI;N;2;0;53215
108;FR;N;2;0;
108;FR;A;3;0;
108;FI;A;8;0;42932
108;FR;S;7;0;
108;FI;S;1;0;56899
147;FI;N;2;0;62358
147;FR;N;4;0;
147;FR;H;5;0;
147;FI;H;14;0;41274
93;FI;N;3;0;85019
93;FR;N;60;0;
99;FI;N;6;0;128181
99;FR;N;4;0;
100;FI;N;4;4;115687
100;FR;N;4;0;
99;FR;C;6;0;
99;FI;C;4;0;76312
100;FR;A;0;0;
100;FI;A;2;10;94165
121;FI;N;4;0;104469
121;FR;N;2;0;
106;FI;N;11;0;154928
106;FR;N;9;0;
106;FR;A;9;0;
106;FI;A;8;5;141590
106;FR;S;71;0;
106;FI;S;1;0;117477
103;FI;N;9;0;27679
123;FI;N;10;0;53293
103;FR;N;1;0;
123;FR;N;6;0;
103;FR;H;4;0;
103;FI;H;10;0;16968
112;FI;N;3;0;64768
112;FR;N;2;0;
112;FI;S;2;0;54822
112;FR;S;2;0;
150;FI;N;11;0;68788
150;FR;N;7;0;
150;FR;A;3;0;
150;FI;A;8;0;48098
150;FR;S;3;0;
150;FI;S;12;0;66634
77;FI;N;9;0;64643
77;FR;N;8;2;
77;FI;C;5;3;70730
77;FR;C;0;0;
93;FI;N;3;0;53683
93;FI;N;0;0;53683
93;FR;N;5;0;
93;FR;C;0;0;
93;FI;C;1;0;56728
67;FI;N;11;4;61527
67;FR;N;5;0;
67;FR;S;4;0;
67;FI;S;7;0;60805
136;FI;N;6;0;77063
136;FR;N;1;0;
136;FR;C;5;0;
136;FI;C;1;0;58774
93;FI;N;4;0;71435
93;FR;N;5;0;
93;FR;C;4;3;
93;FI;C;6;0;61962
35;FI;N;4;0;63114
35;FR;N;2;0;
35;FR;S;0;0;
35;FI;S;3;0;54490
65;FI;N;20;0;75401
65;FR;N;6;0;
65;FR;A;3;0;
65;FI;A;2;0;43530
65;FR;S;6;0;
65;FI;S;4;0;46633
48;FI;N;7;0;51659
48;FR;N;1;0;
48;FR;S;2;0;
48;FI;S;2;0;51803
48;FR;A;4;0;
48;FI;A;7;0;52722
93;FI;N;4;0;61551
93;FR;N;1;0;
93;FR;S;3;0;
93;FI;S;4;0;46891
93;FR;A;5;0;
93;FI;A;20;0;57568
161;FI;N;2;0;56502
161;FR;N;6;0;
155;FI;N;1;0;60704
155;FR;N;1;0;
155;FR;A;8;0;
155;FI;A;3;0;41039
155;FR;S;3;0;
155;FI;S;0;0;48059
181;FI;N;5;0;179431
181;FR;N;7;0;
106;FI;N;2;0;68937
106;FR;N;0;0;
106;FR;A;2;0;
106;FI;A;3;0;37762
106;FR;S;0;0;
106;FI;S;4;0;46363
29;FI;N;3;0;69571
29;FR;N;5;0;
29;FR;A;7;0;
29;FI;A;21;0;59566
87;FI;N;0;0;75923
87;FR;N;0;0;
87;FR;C;0;0;
87;FI;C;0;0;53780
47;FI;N;14;0;64598
47;FR;N;19;0;
47;FR;A;12;0;
47;FI;A;13;0;46143
104;FI;N;9;6;92800
104;FR;N;9;0;
104;FR;H;6;0;
104;FI;H;4;0;42345
104;FR;S;2;0;
104;FI;S;5;0;47768
130;FI;N;1;0;55681
130;FR;N;3;0;
130;FR;A;7;0;
130;FI;A;12;0;46603
147;FI;N;7;0;65513
147;FR;N;3;0;
147;FR;A;1;0;
147;FI;A;17;0;50111
174;FI;N;5;0;66540
174;FR;N;2;0;
174;FR;A;5;0;
174;FI;A;3;0;41317
123;FI;N;7;0;50549
72;FI;N;6;0;125088
72;FR;N;0;0;
72;FR;S;0;0;
72;FI;S;3;0;43731
86;FI;N;8;16;172796
86;FR;N;2;4;
56;FI;N;2;0;74162
56;FR;N;2;0;
56;FR;S;2;0;
56;FI;S;1;1;58304
41;FI;N;2;0;67852
41;FR;N;8;0;
41;FI;S;3;0;51769
41;FR;S;2;0;
41;FR;C;1;0;
41;FI;C;1;0;59135
72;FI;N;6;0;67789
72;FR;N;4;0;
113;FI;N;9;0;37576
113;FR;N;6;0;
